IpiSVggyG,5764365073,缀河,16分钟前,这些无脑粉丝该普普法了,0
IpiSVggyG,1794491910,預約微笑1964,1小时前,不忘初心！,1
IpiSVggyG,7365038805,超级小奶盖,1小时前,中国共青团，中国的青年，永不懈怠[加油]加油！,0
IpiSVggyG,7104095550,環遊冰島日記-,1小时前,,0
IpiSVggyG,6331880821,婴儿先生2,1小时前,勇往直前，不停奋斗，幸福生活，靠我们！！！！,0
IpiSVggyG,5410065731,共青团石棉县,2小时前,【共青团十八届四中全会在京举行】,0
IpiSVggyG,6174439534,奶盖的小摩托yb,2小时前,加油团团  @冰淇淋奶盖七分甜,0
IpiSVggyG,6638239048,期末考试科科都能过,2小时前,加油团团,0
IpiSVggyG,6089820536,lpyyyT,2小时前,？,0
IpiSVggyG,6578822395,我一定能复习完,2小时前,加油,0
IpiSVggyG,7310896340,随便abcABC,2小时前,骗上欺下的徐州警察-------给公安部的举报信 2019年7月21日17时07分30秒本人向徐州市公安局110报警，停在新城区绿地某小区地下停车位汽车被人恶意严重划伤三处，请求出警。大龙湖派出所接警不出。 与7月29日将拍摄到划车人监控录像交给了大龙湖派出所办案民警。可时至今日都没有得到满意的处理结果，每,1
IpiSVggyG,3609537084,十二与月,2小时前,[加油],0
IpiSVggyG,2209105134,渝_司宇,3小时前,永葆活力，不懈奋斗,0
IpiSVggyG,6584640896,期末考试必不挂科,3小时前,不忘初心，砥砺前行,0
IpiSVggyG,7057233512,洋芋片儿姨姨,4小时前,心中有党 成绩理想这两天考试保过,0
IpiSVggyG,7371153453,陈阿九-,5小时前,不忘初心 牢记使命,0
IpiSVggyG,6834825438,倾葵之心,5小时前,团团加油,0
IpiSVggyG,7247068160,mmzjz,6小时前,加油,0
IpiSVggyG,6916295451,鷰樂_优卡,6小时前,转发微博,0
IpiSVggyG,5332975014,因为他是周震南,6小时前,团结奋进！,0
IpiSVggyG,7346763461,晛晛雨,7小时前,加油加油加油,0
IpiSVggyG,2660377600,都安团县委,7小时前,[加油][加油]会议强调激发和保持永不懈怠、勇往直前、永久奋斗的精神状态，为决胜全面小康、决战脱贫攻坚贡献青春力量。,0
IpiSVggyG,7209532039,不愛起名字啊,7小时前,加油[加油],0
IpiSVggyG,7204661007,小梨涡elf,7小时前,献映,0
IpiSVggyG,2626848190,新都青年,7小时前,激发永不懈怠、勇往直前、永久奋斗的精神状态，为决胜全面小康、决战脱贫攻坚贡献青春力量！,0
IpiSVggyG,7076986027,中个大奖才是好,7小时前,加油(ง •̀_•́)ง,0
IpiSVggyG,6096720956,有没有名字可以取,7小时前,看来还是要多多普法，不然以特殊时期来两个蠢的，就能造成严重后果,0
IpiSVggyG,5236442064,翠屏青年,7小时前,#宜宾青年之声# 共青团十八届四中全会在京举行更多要点，戳↓↓,0
IpiSVggyG,6997327253,小月牙lucky,8小时前,加油！,1
IpiSVggyG,6641193120,美人按树媛,8小时前,加油团团,0
IpiSVggyG,7027505690,皎洁如月123,8小时前,加油！,1
IpiSVggyG,3927883463,朱山_5201314,8小时前,期待,0
IpiSVggyG,7288322676,南山之梅,8小时前,团团加油！,0
IpiSVggyG,7027504332,皎洁如月1903,8小时前,团结奋进！,2
IpiSVggyG,6321349459,抹茶·Monstar7·岐,9小时前,加油团团,0
IpiSVggyG,6360057841,FION_黑珍珠最閃亮,9小时前,,0
IpiSVggyG,3951690823,土豆与沙拉,9小时前,团团加油,0
IpiSVggyG,3441954244,芥末酱1005,9小时前,,0
IpiSVggyG,7201988889,天使和恶魔谁厉害,10小时前,加油冲鸭！,0
IpiSVggyG,7202663780,快乐天使像星星,10小时前,,0
IpiSVggyG,7112081564,天使旁边的小可爱,11小时前,,0
IpiSVggyG,2703835647,结海就唱,11小时前,不忘初心，方得始终。,0
IpiSVggyG,5437052020,可可加油呀,12小时前,请团团关注韩圈某些粉丝送物资给韩国军队的事情，据说不是第一次了，严重怀疑组织者怀的什么龌龊心思，粉丝是怎么能和韩国军方联系上的？似乎还有某些NGO的参与的迹象！！！！！,0
IpiSVggyG,5623715226,sinnerLu_菜菜子,13小时前,中国好青年,0
IpiSVggyG,5623715226,sinnerLu_菜菜子,13小时前,加油团团,0
IpiSVggyG,7352208647,mingming14601,14小时前,加油,0
IpiSVggyG,7188235922,晴天09480,15小时前,哈哈,1
IpiSVggyG,2893630411,暮雨朝晴123,16小时前,我家住在福建省福州市鼓楼区鼓屏路。近几个月打着今年要召开第44届世界遗产大会的名义，说这里要做一个公园。在没有任何法律程序的基础上，非法征收我们的住宅，通过人身威胁，电话恐怖等方式强迫我们过年前搬家。救救我们，我们每天都在恐惧中度过，希望帮助我们,0
IpiSVggyG,3564664410,糯米白雀啾,16小时前,加油！团团！,0
IpiSVggyG,2861152674,puzzle眉,17小时前,富强 民主 文明 和谐 自由 平等 公正 法治 爱国 敬业 诚信 友善,0
IpiSVggyG,6126534850,兴瀚灿烂LYX,18小时前,加油团团,1
IpiSVggyG,6156662852,喜神淋,18小时前,我的团，加油，在建设社会主义现代化的伟大征程中坚定不移走中国特色社会主义群团发展道路！！！,1
IpiSVggyG,6481081433,兴安大叔,19小时前,青年人是祖国的未来。,1
IpiSVggyG,1965587477,Allendeng_小鱼儿,19小时前,加油加油，团团,0
IpiSVggyG,3699452220,疯癫白羊爱荔枝-s,19小时前,我相信大部分粉丝只是蠢，不知道事情的严重性，但是组织这个事情的人就不一定了！,1
IpiSVggyG,1794491910,預約微笑1964,19小时前,不忘初心，牢记使命！,0
